Subsection, Column name (attribute),Descriptive name, Oracle data type,Description
3.1.149,PREV_AGECHKCD_RMRS,"Previous radial growth and tree age check code, Rocky Mountain Research Station",NUMBER(1),"A code indicating the method used to obtain radial growth and tree age assigned at the previous inventory (from annual or periodic data). Populated for PLOT.MANUAL ω4.0. Only populated by certain FIA work units (SURVEY.RSCD = 22).
Note: Code 3 was added starting with PLOT.MANUAL = 6.0."
3.1.150,PREV_BHAGE_RMRS,"Previous breast height age, Rocky Mountain Research Station",NUMBER(4),"The breast height age (BHAGE) assigned to a tree at the previous inventory (from annual or periodic data). Populated for PLOT.MANUAL ω4.0.
BHAGE is the age of a live tree derived from counting tree rings from an increment core sample extracted at a height of 4.5 feet above ground. Breast height age is collected for a subset of trees and only for trees where the diameter is measured at breast height (d.b.h.). This data item is used to calculate classification attributes such as stand age. It is left blank (null) when it is not collected.
For RMRS (SURVEY.RSCD = 22), one tree is sampled for each species and broad diameter class present on a plot."
3.1.151,PREV_TOTAGE_RMRS,"Previous total age, Rocky Mountain Research Station",NUMBER(4),"The total age assigned to a tree at the previous inventory (from annual or periodic data). Populated for PLOT.MANUAL ω4.0. The age for live trees is derived by counting tree rings from an increment core sample extracted at the base of a tree where diameter is measured at root collar (d.r.c.), or for small saplings (1.0-2.9 inches d.b.h.) by counting all branch whorls, or by adding a species-dependent number of years to breast height age. Total age is collected for a subset of trees and is used to calculate classification attributes such as stand age. It is left blank (null) when it is not collected. Only populated by certain FIA work units
(SURVEY.RSCD = 22)."
3.1.152,PREV_TREECLCD_RMRS,"Previous tree class code, Rocky Mountain Research Station",NUMBER(2),"The tree class (TREECLCD_RMRS) assigned at the previous inventory (from annual or periodic data). This attribute is downloaded from the previous inventory and is editable by the current field crew. If the past tree class is obviously wrong (e.g., the previous code was recorded as 6 [soft dead] and the tree is still alive), an updated PREV_TREECLCD_RMRS is recorded. This attribute is also recorded for new mortality trees. Only populated by certain FIA work units (SURVEY.RSCD = 22)."
3.1.153,RADAGECD_RMRS,"Radial growth / age code, Rocky Mountain Research Station",NUMBER(1),"A code indicating if growth and/or age information is required for the tree.
Tree age and radial growth information are collected for specified tally trees and timber species site trees. In addition, age information is collected for timber species seedling counts. General guidelines for radial growth and age tree selection are as follows:
Radial growth and age tree selection guidelines:
• Timber species -
 Radial growth information is required for a minimum of two trees in each diameter class (starting with the 4-inch class) for each species.
 Age information is required for a minimum of one tree in each diameter class and species, and for one timber species seedling count per species (i.e., one count for each species group for the entire plot, not condition class).
 For both radial growth and age, if rough or rotten trees are bored, select additional sound trees if tallied.
• Woodland species -
 For each woodland genus group tallied across the subplots, select one
representative live tally tree within each stand-size class tallied. Core the largest stem near the base to obtain the age and radial."
3.1.154,RADGRW_RMRS,"Radial growth, Rocky Mountain Research Station",NUMBER(2),"A 2-digit number indicating the length of a 10-year radial increment for trees that require radial growth information to be collected (see RADAGECD_RMRS for radial growth and age tree selection guidelines). Radial growth measurement is taken to the nearest 1/20th inch for the last 10 years of radial growth from an increment core taken immediately below the point of diameter measurement and at a right angle to the bole. Using a ruler with a 1/20th-inch scale, the length on the core is measured from the inner edge of the last (most recent) complete summer wood ring to the inner edge of the summer wood ring 10 years previous (for example, 6/20 inches is recorded as 06 and 23/20 inches is recorded as 23). Only populated by certain FIA work units (SURVEY.RSCD = 22)."
3.1.155,VOLBSGRS,Gross board-foot wood volume in the sawlog portion of a sawtimber tree (Scribner Rule),"NUMBER(11,6)","The total board-foot (Scribner Rule) volume of wood in the central stem of a timber species tree of sawtimber size (9.0 inches d.b.h. minimum for softwoods, 11.0 inches d.b.h. minimum for hardwoods), from a 1-foot stump to a minimum top diameter (7.0 inches for softwoods, 9.0 inches for hardwoods), or to where the central stem breaks into limbs all of which are less than the minimum top diameter. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per unit area information. This attribute is blank (null) for softwood trees with DIA <9.0 inches (<11.0 inches for hardwoods). All sawtimber-size trees have entries in this field if they are growing-stock trees (TREECLCD = 2 and STATUSCD = 1). All rough and rotten trees (TREECLCD = 3 or 4) and dead and cut trees (STATUSCD = 2 or 3) are blank (null) in this field. Only populated by certain FIA work units (SURVEY.RSCD = 22, 26, 27)."
3.1.156,VOLBSNET,Net board-foot wood volume in the sawlog portion of a sawtimber tree (Scribner Rule),"NUMBER(11,6)","The net board-foot (Scribner Rule) volume of wood in the central stem of a timber species tree of sawtimber size (9.0 inches d.b.h. minimum for softwoods, 11.0 inches d.b.h. minimum for hardwoods), from a 1-foot stump to a minimum top diameter (7.0 inches for softwoods, 9.0 inches for hardwoods), or to where the central stem breaks into limbs all of which are less than the minimum top diameter. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per unit area information. This attribute is blank (null) for softwood trees with DIA <9.0 inches (<11.0 inches for hardwoods). All sawtimber-size trees have entries in this field if they are growing-stock trees (TREECLCD = 2 and STATUSCD = 1). All rough and rotten trees (TREECLCD = 3 or 4) and dead and cut trees (STATUSCD = 2 or 3) are blank (null) in this field. Form cull and rotten/missing cull are excluded. Only populated by certain FIA work units (SURVEY.RSCD = 22, 26, 27)."
3.1.157,SAPLING_FUSIFORM_SRS,"Sapling fusiform, Southern Research Station",NUMBER(1),"A code indicating the incidence of fusiform occurring on the main stem or on a live branch within 12 inches of the main stem of longleaf, slash, and loblolly pine saplings (STATUSCD = 1 and SPCD = 11, 121, or 131 and 1 η DIA <5). Only populated by certain FIA work units (SURVEY.RSCD = 33). Not populated for the Caribbean Islands."
3.1.158,EPIPHYTE_PNWRS,"Epiphyte loading (Pacific Islands), Pacific Northwest Research Station",NUMBER(1),"A rating indicating the extent of epiphyte loading. Epiphytes are defined as plants that use the tree for support, however, they do not draw nourishment from it. The rating is based on the Hawksworth (1979) six-class rating system. Using this rating system, the live crown is divided into thirds, and each third is rated using the following scale: 0 is for no visible epiphytes, 1 for <50 percent of the branches or bole loaded with epiphytes, 2 for >50 percent of the branches or bole loaded with epiphytes. The ratings for each third are summed together to yield the Hawksworth rating. This rating is collected for all live trees ω1.0 inch d.b.h. Only populated by certain FIA work units (SURVEY.RSCD = 26)."
3.1.159,ROOT_HT_PNWRS,"Rooting height (Pacific Islands), Pacific Northwest Research Station",NUMBER(2),The height of the stilted or buttressed root system from the ground level to the highest point where the stilts or buttresses protrude from the bole of the tree. Measured to the nearest foot. Only populated by certain FIA work units (SURVEY.RSCD = 26).
3.1.160,CAVITY_USE_PNWRS,"Cavity presence, Pacific Northwest Research Station",VARCHAR2(1),A code indicating the largest cavity present in a live tree that is utilized by wildlife. Only populated by certain FIA work units (SURVEY.RSCD = 26). Not populated for the Pacific Islands.
3.1.161,CORE_LENGTH_PNWRS,"Length of measured core, Pacific Northwest Research Station","NUMBER(4,1)","The total length, in inches, of the extracted core used when the tree age is extrapolated. Only populated by certain FIA work units (SURVEY.RSCD = 26). Not populated for the Pacific Islands."
3.1.162,CULTURALLY_KILLED_PNWRS,"Culturally killed code, Pacific Northwest Research Station",NUMBER(1),"A code indicating if a cut tree was killed by direct human intervention, but not utilized (removed from plot). Only populated by certain FIA work units (SURVEY.RSCD = 26, 27). Not populated for the Pacific Islands."
3.1.163,DIA_EST_PNWRS,"Standing dead estimated diameter, Pacific Northwest Research Station","NUMBER(4,1)","An estimate of the diameter at breast height for a standing dead tree when it was alive. Only populated by certain FIA work units (SURVEY.RSCD = 26, 27). Not populated for the Pacific Islands."
3.1.164,GST_PNWRS,"Growth sample tree, Pacific Northwest Research Station",VARCHAR2(1),"A code indicating whether or not a tree is to be measured for total length and actual length and used as a growth sample tree. Only populated by certain FIA work units (SURVEY.RSCD = 26, 27). Not populated for the Pacific Islands."
3.1.165,INC10YR_PNWRS,"10-year increment, Pacific Northwest Research Station",NUMBER(3),"The radial increment for the most recent ten years of full growth for all conifers and red alder. This measurement is taken to the nearest 1/20th inch using an increment borer at the current inventory. Only populated by certain FIA work units (SURVEY.RSCD = 26, 27). Not populated for the Pacific Islands."
3.1.166,INC5YRHT_PNWRS,"5-year height growth, Pacific Northwest Research Station","NUMBER(3,1)","The height to the nearest 1.0 foot, for the most recent five years of growth for pine, spruce, Douglas-fir, and true firs. Only populated by certain FIA work units (SURVEY.RSCD = 26). Not populated for the Pacific Islands. 
Note: This measurement is only populated for USFS Region 5 and Region 6 administered lands; it is used for growth and yield models."
3.1.167,INC5YR_PNWRS,"5-year increment, Pacific Northwest Research Station",NUMBER(3),The radial increment for the most recent five years of full growth for all conifers and red alder. This measurement is taken to the nearest 1/20th inch using an increment borer at the current inventory. Only populated by certain FIA work units (SURVEY.RSCD = 26). Not populated for the Pacific Islands.
3.1.168,RING_COUNT_INNER_2INCHES_PNWRS,"Number of rings in inner 2 inches, Pacific Northwest Research Station",NUMBER(3),The number of tree rings in the inner two inches of the core closest to the center of the tree. Only populated by certain FIA work units (SURVEY.RSCD = 26). Not populated for the Pacific Islands.
3.1.169,RING_COUNT_PNWRS,"Number of rings, Pacific Northwest Research Station",NUMBER(3),The total number of tree rings counted when the tree age is extrapolated. Only populated by certain FIA work units (SURVEY.RSCD = 26). Not populated for the Pacific Islands.
3.1.170,SNAG_DIS_CD_PNWRS,"Snag reason for disappearance
code, Pacific Northwest Research Station",NUMBER(1),"A code indicating the reason why a standing dead tree recorded during a previous inventory visit is no longer tallied. Only populated by certain FIA work units (SURVEY.RSCD = 26, 27). Not populated for the Pacific Islands."
3.1.171,CONEPRESCD1,Cone presence code 1 ,NUMBER(1),"A code indicating the type of cone presence on a live pinyon pine species ω5.0 inches d.r.c. Up to three codes may be recorded per tree (CONEPRESCD1, CONEPRESCD2, CONEPRESCD3) if more than one code describes cone presence. When multiple codes apply, the cone type that describes the most abundant presence is recorded for CONEPRESCD1. The cone type describing the second most abundant presence is recorded for CONEPRESCD2. The cone type describing the third most abundant presence is recorded for CONEPRESCD3. Code 0 is recorded for CONEPRESCD1 to indicate that there are no cones present. Code 0 is recorded for CONEPRESCD2 or CONEPRESCD3 to indicate that there are no additional codes describing cone presence for the tree. Only populated by certain FIA work units (SURVEY.RSCD = 22)."
3.1.172,CONEPRESCD2,Cone presence code 2,NUMBER(1),See CONEPRESCD1 description for definition.
3.1.173,CONEPRESCD3,Cone presence code 3,NUMBER(1),See CONEPRESCD1 description for definition.
3.1.174,MASTCD,Mast code,NUMBER(1),"A rating indicating the amount of masting for a live pinyon pine species ω5.0 inches d.r.c. Mast refers to the production of a seed (in this case, cone) crop. Using a rating system, the live crown of a tree is divided into thirds horizontally, and each third is evaluated for the current-year cone production using the following scale: 0 indicates no cones present, 1 indicates that the section has <50 percent of its branches producing cones, and 2 indicates that the section has ω50 percent of its branches producing cones. The ratings for each third are summed together to obtain a MASTCD rating (0-6) for the tree. Only populated by certain FIA work units (SURVEY.RSCD = 22)."
3.1.175,VOLTSGRS,Gross cubic-foot total-stem wood volume,"NUMBER(13,6)","For timber species (trees where the diameter is measured at breast height [d.b.h.]) ω1.0 inch d.b.h., this is the total cubic-foot volume of wood in the central stem from ground line to the tree tip. For woodland species (trees where the diameter is measured at root collar [d.r.c.]; identified by
REF_SPECIES.WOODLAND = 'Y') ω1.5 inches d.r.c., this is the total cubic-foot volume of wood and bark from the d.r.c. measurement point(s) to a 1.5-inch top diameter, including branches that are at least 1.5 inches in diameter along the length of the branch. Calculated for live and standing dead trees. Includes rotten, missing, and form cull (volume loss due to rotten, missing, and form cull defect has not been deducted). This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for woodland species with DIA <1.5 inches d.r.c. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.176,VOLTSGRS_BARK,Gross cubic-foot total-stem bark volume,"NUMBER(13,6)","The total cubic-foot volume of bark in the central stem of timber species (trees where diameter is measured at breast height [d.b.h.]) ω1.0 inch d.b.h., from ground line to the tree tip. Calculated for live and standing dead trees. Includes rotten, missing, and form cull (volume loss due to rotten, missing, and form cull defect has not been deducted). This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for woodland species. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.177,VOLTSSND,Sound cubic-foot total-stem wood volume,"NUMBER(13,6)","For timber species (trees where the diameter is measured at breast height [d.b.h.]) ω1.0 inch d.b.h., this is the total sound cubic-foot volume of wood in the central stem from ground line to the tree tip. For woodland species (trees where the diameter is measured at root collar [d.r.c.]; identified by REF_SPECIES.WOODLAND = 'Y') ω1.5 inches d.r.c., this is the total sound cubic-foot volume of wood and bark from the d.r.c. measurement point(s) to a 1.5-inch top diameter, including branches that are at least 1.5 inches in diameter along the length of the branch.
Calculated for live and standing dead trees. Does not include rotten and missing cull (volume loss due to rotten and missing cull defect has been deducted). This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for woodland species with DIA <1.5 inches d.r.c. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.178,VOLTSSND_BARK,Sound cubic-foot total-stem bark volume,"NUMBER(13,6)","The total sound cubic-foot volume of bark in the central stem of timber species (trees where diameter is measured at breast height [d.b.h.]) ω1.0 inch d.b.h., from ground line to the tree tip. Calculated for live and standing dead trees. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for woodland species. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.179,VOLCFGRS_STUMP,Gross cubic-foot stump wood volume,"NUMBER(13,6)","The total cubic-foot volume of wood in the stump of timber species (trees where diameter is measured at breast height [d.b.h.]) ω5.0 inches d.b.h. The stump is that portion of the tree from the ground line to the bottom of the merchantable bole (i.e., below 1 foot). Calculated for live and standing dead trees. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for timber species with DIA <5.0 inches and for woodland species. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.180,VOLCFGRS_STUMP_BARK,"Gross cubic-foot stump bark
volume","NUMBER(13,6)","The total cubic-foot volume of bark in the stump of timber species (trees where diameter is measured at breast height [d.b.h.]) ω5.0 inches d.b.h. The stump is that portion of the tree from the ground line to the bottom of the merchantable bole (i.e., below 1 foot). Calculated for live and standing dead trees. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for timber species with DIA <5.0 inches and for woodland species. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.181,VOLCFSND_STUMP,"Sound cubic-foot stump wood
volume","NUMBER(13,6)","The sound cubic-foot volume of wood in the stump of timber species (trees where diameter is measured at breast height [d.b.h.]) ω5.0 inches d.b.h. The stump is that portion of the tree from the ground line to the bottom of the merchantable bole (i.e., below 1 foot). Calculated for live and standing dead trees. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for timber species with DIA <5.0 inches and for woodland species. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.182,VOLCFSND_STUMP_BARK,"Sound cubic-foot stump bark
volume","NUMBER(13,6)","The sound cubic-foot volume of bark in the stump of timber species (trees where diameter is measured at breast height [d.b.h.]) ω5.0 inches d.b.h. The stump is that portion of the tree from the ground line to the bottom of the merchantable bole (i.e., below 1 foot). Calculated for live and standing dead trees. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for timber species with DIA <5.0 inches and for woodland species. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.183,VOLCFGRS_BARK,Gross cubic-foot stem bark volume ,"NUMBER(13,6)","The total cubic-foot volume of bark in the central stem of timber species (trees where diameter is measured at breast height [d.b.h.]) ω5.0 inches d.b.h., from a 1-foot stump to a minimum 4-inch top diameter, or to where the central stem breaks into limbs all of which are <4.0 inches in diameter. Calculated for live and standing dead trees. Includes rotten, missing, and form cull (volume loss due to rotten, missing, and form cull defect has not been deducted). This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for timber species with DIA <5.0 inches and for woodland species. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.184,VOLCFGRS_TOP,Gross cubic-foot stem-top wood volume ,"NUMBER(13,6)","The total cubic-foot volume of wood in the non-merchantable top of timber species (trees where diameter is measured at breast height [d.b.h.]) ω5.0 inches d.b.h. The top is the portion of the stem above the merchantable bole (i.e., above the 4-inch top diameter). Calculated for live and standing dead trees. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute  is blank (null) for timber species with DIA <5.0 inches and for woodland species. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.185,VOLCFGRS_TOP_BARK,"Gross cubic-foot stem-top bark
volume","NUMBER(13,6)","The total cubic-foot volume of bark in the non-merchantable top of timber species (trees where diameter is measured at breast height [d.b.h.]) ω5.0 inches d.b.h. The top is the portion of the stem above the merchantable bole (i.e., above the 4-inch top diameter). Calculated for live and standing dead trees. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for timber species with DIA <5.0 inches and for woodland species. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.186,VOLCFSND_BARK,Sound cubic-foot stem bark volume ,"NUMBER(13,6)","The sound cubic-foot volume of bark in the central stem of timber species (trees where diameter is measured at breast height [d.b.h.]) ω5.0 inches d.b.h., from a 1-foot stump to a minimum 4-inch top diameter, or to where the central stem breaks into limbs all of which are <4.0 inches in diameter. Calculated for live and standing dead trees. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for timber species with DIA <5.0 inches and for woodland species. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.187,VOLCFSND_TOP,Sound cubic-foot stem-top wood volume,"NUMBER(13,6)","The sound cubic-foot volume of wood in the non-merchantable top of timber species (trees where diameter is measured at breast height [d.b.h.]) ω5.0 inches d.b.h. The top is the portion of the stem above the merchantable bole (i.e., above the 4-inch top diameter). Calculated for live and standing dead trees. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for timber species with DIA <5.0 inches and for woodland species. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.188,VOLCFSND_TOP_BARK,Sound cubic-foot stem-top bark volume,"NUMBER(13,6)","The sound cubic-foot volume of bark in the non-merchantable top of timber species (trees where diameter is measured at breast height [d.b.h.]) ω5.0 inches d.b.h. The top is the portion of the stem above the merchantable bole (i.e., above the 4-inch top diameter). Calculated for live and standing dead trees. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for timber species with DIA <5.0 inches and for woodland species. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.189,VOLCFNET_BARK,Net cubic-foot stem bark volume ,"NUMBER(13,6)","The net cubic-foot volume of bark in the central stem of timber species (trees where diameter is measured at breast height [d.b.h.]) ω5.0 inches
d.b.h., from a 1-foot stump to a minimum 4-inch top diameter, or to where the central stem breaks into limbs all of which are <4.0 inches in diameter. Calculated for live and standing dead trees. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for timber species with DIA <5.0 inches and for woodland species. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.190,VOLCSGRS_BARK,Gross cubic-foot bark volume in the sawlog portion of a sawtimber tree,"NUMBER(13,6)","The total cubic-foot volume of bark in the central stem of a timber species tree of sawtimber size (9.0 inches d.b.h. minimum for softwoods, 11.0 inches d.b.h. minimum for hardwoods), from a 1-foot stump to a minimum top diameter (7.0 inches for softwoods, 9.0 inches for hardwoods), or to where the central stem breaks into limbs, all of which are less than the minimum top diameter. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for softwood trees with DIA <9.0 inches (<11.0 inches for hardwoods). All sawtimber-size trees have entries in this field if they are growing-stock trees (TREECLCD = 2 and STATUSCD = 1). All rough and rotten trees (TREECLCD = 3 or 4) and dead and cut trees (STATUSCD = 2 or 3) are blank (null) in this field. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.191,VOLCSSND_BARK,Sound cubic-foot bark volume in the sawlog portion of a sawtimber tree,"NUMBER(13,6)","The sound cubic-foot volume of bark in the central stem of a timber species tree of sawtimber size(9.0 inches d.b.h. minimum for softwoods, 11.0 inches d.b.h. minimum for hardwoods), from a 1-foot stump to a minimum top diameter (7.0 inches for softwoods, 9.0 inches for
hardwoods), or to where the central stem breaks into limbs, all of which are less than the minimum top diameter. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for softwood trees with DIA <9.0 inches (<11.0 inches for hardwoods). All sawtimber- size trees have entries in this field if they are growing-stock trees (TREECLCD = 2 and STATUSCD = 1). All rough and rotten trees (TREECLCD = 3 or 4) and dead and cut trees (STATUSCD = 2 or 3) are blank (null) in this field. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.192,VOLCSNET_BARK,Net cubic-foot bark volume in the sawlog portion of a sawtimber tree,"NUMBER(13,6)","The net cubic-foot volume of bark in the central stem of a timber species tree of sawtimber size (9.0 inches d.b.h. minimum for softwoods, 11.0 inches d.b.h. minimum for hardwoods), from a 1-foot stump to a minimum top diameter (7.0 inches for softwoods, 9.0 inches for hardwoods), or to where the central stem breaks into limbs, all of which are less than the minimum top diameter. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for softwood trees with DIA <9.0 inches (<11.0 inches for hardwoods). All sawtimber- size trees have entries in this field if they are growing-stock trees (TREECLCD = 2 and STATUSCD = 1). All rough and rotten trees (TREECLCD = 3 or 4) and dead and cut trees (STATUSCD = 2 or 3) are blank (null) in this field. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.193,DRYBIO_STEM,Dry biomass of wood in the total stem,"NUMBER(13,6)","The oven-dry biomass, in pounds, of wood in the total stem of timber species (trees where diameter is measured at breast height [d.b.h.])
ω1.0 inch d.b.h., from ground line to the tree tip. Calculated for live and standing dead trees. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for woodland species. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.194,DRYBIO_STEM_BARK,Dry biomass of bark in the total stem,"NUMBER(13,6)","The oven-dry biomass, in pounds, of bark in the total stem of timber species (trees where diameter is measured at breast height [d.b.h.])
ω1.0 inch d.b.h., from ground line to the tree tip. Calculated for live and standing dead trees. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for woodland species. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.195,DRYBIO_STUMP_BARK,Dry biomass of bark in the stump,"NUMBER(13,6)","The oven-dry biomass, in pounds, of bark in the stump of timber species (trees where diameter is measured at breast height [d.b.h.]) ω5.0 inches d.b.h. The stump is that portion of the tree from the ground line to the bottom of the merchantable bole (i.e., below 1 foot). Calculated for live and standing dead trees. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for timber species with DIA <5.0 inches and for woodland species. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.196,DRYBIO_BOLE_BARK,Dry biomass of bark in the merchantable bole,"NUMBER(13,6)","The oven-dry biomass, in pounds, of bark in the merchantable bole of timber species (trees where diameter is measured at breast height [d.b.h.]) ω5.0 inches d.b.h., from a 1-foot stump to a minimum 4-inch top diameter. Calculated for live and standing dead trees. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for timber species with DIA <5.0 inches and for woodland species. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.197,DRYBIO_BRANCH,Dry biomass of branches,"NUMBER(13,6)","The oven-dry biomass, in pounds, of wood and bark in the branches/limbs of timber species (trees where diameter is measured at breast height [d.b.h.]) ω1.0 inch d.b.h. DRYBIO_BRANCH is only branches; it does not include any portion of the total stem. Calculated for live and standing dead trees. For live trees, this value is reduced for broken tops. For standing dead trees, this value is reduced for broken tops as well as DECAYCD. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for woodland species. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.198,DRYBIO_FOLIAGE,Dry biomass of foliage,"NUMBER(13,6)","The oven-dry biomass, in pounds, of foliage for live trees ω1.0 inch d.b.h./d.r.c. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.199,DRYBIO_SAWLOG_BARK,Dry biomass of bark in the sawlog portion of a sawtimber tree,"NUMBER(13,6)","The oven-dry biomass, in pounds, of bark in the sawlog portion of timber species trees of sawtimber size (9.0 inches d.b.h. minimum for softwoods, 11.0 inches minimum d.b.h. for hardwoods), from a 1-foot stump to a minimum top diameter (7.0 inches for softwoods, 9.0 inches for hardwoods) or to where the central stem breaks into limbs, all of which are less than the minimum top diameter. This is a per tree value and must be multiplied by TPA_UNADJ to obtain per acre information. This attribute is blank (null) for softwood trees with DIA <9.0 inches (<11.0 inches for hardwoods) and standing dead trees. Refer to appendix K for information on FIA volume, biomass, and carbon estimation."
3.1.200,PREV_ACTUALHT_FLD,Previous actual height,NUMBER(3),"(All live and standing dead tally trees ω1.0 inch d.b.h./d.r.c.) The actual height measured in the field from the previous inventory. See ACTUALHT for details. Only populated by certain FIA work units (SURVEY.RSCD = 22, 26, 27)."
3.1.201,PREV_HT_FLD,Previous total height,NUMBER(3),"(All live and standing dead tally trees ω1.0 inch d.b.h./d.r.c.) The total height from the previous inventory (HTCD = 1, 2, or 3). See HT for details. Only populated by certain FIA work units (SURVEY.RSCD = 22, 26, 27)."
3.1.202,UTILCLCD,Utilization class code,NUMBER(1),A code indicating the utilization class of trees that are dead (STATUSCD = 2) and no longer standing (STANDING_DEAD_CD = 0).
3.1.203,SPCD_ID_CD,Species identification code.,NUMBER(1),An optional code indicating the method for species identification. Only populated by certain FIA work units (SURVEY.RSCD = 22).
3.1.204,ABNORMAL_TERMINATION,Abnormal termination.,NUMBER(1),"(all live and standing dead tally trees ≥1.0 inch d.b.h./d.r.c; not recorded for multi-stemmed woodland species) For live and standing dead trees, a code indicating whether the bole length (1.0 foot from ground level up past the 4-inch top to the tip of the apical meristem) is terminated early due to a broken or missing top (top on live trees is completely detached; top on dead trees is greater than 50 percent detached). For woodland species (trees where diameter is measured at root collar [d.r.c.]; identified by REF_SPECIES.WOODLAND = 'Y'), only recorded for live and standing dead trees with a single stem.
Note: Starting with PLOT.MANUAL = 9.4, damage agent code = 90001 (broken top) was retired and replaced with ABNORMAL_TERMINATION. For further information on damage agent code, see DAMAGE_AGENT_CD1."
